onset	duration	amount	Delay	choseAccept	RT	choseRight
15.195	4	56	93	1	1.053	0
20.261	4	40	159	0	2.138	1
35.311	4	75	60	1	0.712	0
51.36	4	25	70	0	1.311	1
61.393	4	49	140	1	2.205	0
70.426	4	58	73	1	1.388	0
78.459	4	41	129	0	1.195	1
86.492	4	58	55	1	0.85	0
99.541	4	67	41	1	1.08	0
116.574	4	54	126	1	1.399	0
126.607	4	50	41	1	1.262	0
134.64	4	58	72	1	1.133	0
142.673	4	29	58	0	1.643	1
154.706	4	58	36	1	1.274	0
163.739	4	50	129	1	1.593	0
172.772	4	39	104	0	1.656	1
181.805	4	44	143	1	2.414	0
191.838	4	33	103	0	1.213	1
201.888	4	71	176	1	0.955	0
212.921	4	58	53	1	1.322	0
222.97	4	28	163	0	1.808	1
230.003	4	28	123	0	1.695	1
240.036	4	72	95	1	1.046	0
245.086	4	24	139	0	0.972	1
250.136	4	71	76	1	1.522	0
265.169	4	49	172	1	1.888	0
273.202	4	31	74	0	2.399	1
283.251	4	23	110	0	1.39	1
299.284	4	56	172	1	1.356	0
309.317	4	65	156	1	0.811	0
