onset	duration	amount	Probability	choseAccept	RT	choseRight
13.368	4	42	0.58	0	2.504	0
22.401	4	49	0.51	0	1.87	0
30.434	4	82	0.48	1	2.069	1
40.468	4	44	0.44	0	1.059	0
54.5	4	58	0.83	1	1.155	1
62.533	4	40	0.39	0	1.249	0
72.583	4	41	0.6	1	1.735	1
78.632	4	83	0.52	0	1.502	0
84.682	4	65	0.55	1	1.692	1
98.715	4	77	0.39	0	1.115	0
107.765	4	33	0.62	0	1.448	0
119.814	4	40	0.66	0	1.287	0
129.847	4	39	0.3	0	1.294	0
137.88	4	40	0.71	0	2.309	0
144.913	4	79	0.45	0	1.5	0
151.963	4	79	0.33	0	1.161	0
160.996	4	78	0.26	0	0.872	0
168.029	4	57	0.51	0	1.855	0
180.062	4	25	0.89	0	1.941	0
191.095	4	36	0.59	0	1.724	0
203.128	4	53	0.48	0	1.475	0
208.178	4	63	0.27	0	1.001	0
217.227	4	35	0.7	0	1.456	0
230.26	4	84	0.25	0	1.15	0
245.326	4	46	0.21	0	1.116	0
264.376	4	52	0.41	0	1.289	0
273.409	4	23	0.96	0	1.328	0
284.442	4	49	0.56	0	2.135	0
295.491	4	24	0.91	0	1.47	0
306.524	4	60	0.51	0	1.588	0
